Query	Genome	Gene
dxs	Nitzschia_putrida_Nputr_1.0	BLYE01000093_1:37765-38136
thiO	Nitzschia_putrida_Nputr_1.0	BLYE01000112_1:39171-38602
ylmB	Nitzschia_putrida_Nputr_1.0	BLYE01000157_1:133952-133704
iscS	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0021880
thiC	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0053000
TPK1	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0061590
tenI	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460
thiE	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460
thiDE	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460
thiD	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460
thiDN	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460
THI20	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460
TH2	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0068030
rsgA	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0072230
ylmB	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0079730
NTPCR	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0090850
dxs	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0091530
THTPA	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0096680
thi4	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0105130
tenA	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0106000
adk	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0107990
thiO	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116010
thiF	Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116770
thiO	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_31544
ylmB	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_18404
iscS	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_34119
thiF	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_34373
tenA	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_45181
adk	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_20093
tenI	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_35691
TPK1	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_5423
THTPA	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_37234
THI20	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_47293
thiD	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_47293
thiDN	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_47293
thiDE	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_47293
thiE	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_47293
thiC	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_38085
ylmB	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_39315
iscS	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_240
TPK1	Thalassiosira_pseudonana_ASM14940v2	CM000639_1:516026-515610
thiF	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_261602
thi4	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_21713
tenA	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_4111
THTPA	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_5797
thiE	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_262963
thiDE	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_262964
thiD	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_262964
thiDN	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_262964
THI20	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_262964
thiC	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_41733
thiO	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_263655
adk	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_9511
TH2	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_25019
THI5	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATR_33535
THI5	Thalassiosira_pseudonana_ASM14940v2	gene-THAPS_6708
dxs	Thalassiosira_pseudonana_ASM14940v2	gene-THAPS_270312
dxs	Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_bd1689
thiG	Thalassiosira_pseudonana_ASM14940v2	gene-THAPSDRAFT_bd1620
thiO	Bacillariophyta_sp_ASM1036717v1	JAACPG010000261_1:15469-14726
THI4	Bacillariophyta_sp_ASM1036717v1	JAACPG010000301_1:3155-3039
thiDN	Bacillariophyta_sp_ASM1036717v1	JAACPG010000413_1:659-1195
THI20	Bacillariophyta_sp_ASM1036717v1	JAACPG010000413_1:701-1195
thiD	Bacillariophyta_sp_ASM1036717v1	JAACPG010000413_1:704-1285
thiDE	Bacillariophyta_sp_ASM1036717v1	JAACPG010000413_1:716-1285
thiE	Bacillariophyta_sp_ASM1036717v1	JAACPG010000413_1:1772-2374
THI6	Bacillariophyta_sp_ASM1036717v1	JAACPG010000413_1:1841-2287
TPK1	Bacillariophyta_sp_ASM1036717v1	JAACPG010000447_1:3189-2824
thiC	Bacillariophyta_sp_ASM1036717v1	JAACPG010000494_1:3516-2455
adk	Bacillariophyta_sp_ASM1036717v1	JAACPG010001574_1:1682-1969
thiF	Bacillariophyta_sp_ASM1036717v1	JAACPG010002227_1:396-1136
iscS	Bacillariophyta_sp_ASM1036717v1	JAACPG010002438_1:1541-2680
tenI	Bacillariophyta_sp_ASM1036717v1	JAACPG010002997_1:8664-9077
ylmB	Bacillariophyta_sp_ASM1036717v1	JAACPG010002998_1:5076-5531
THI5	Bacillariophyta_sp_ASM1036717v1	JAACPG010003195_1:7119-7952
ylmB	Bacillariophyta_sp_ASM1036716v1	JAACSZ010000324_1:5080-5535
TPK1	Bacillariophyta_sp_ASM1036716v1	JAACSZ010000501_1:7808-7443
iscS	Bacillariophyta_sp_ASM1036716v1	JAACSZ010000621_1:2805-3944
rsgA	Bacillariophyta_sp_ASM1036716v1	JAACSZ010000863_1:15457-15149
THI4	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001165_1:7116-7000
thiC	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001335_1:6209-5148
tenI	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001372_1:16858-17271
thiO	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001385_1:12101-13147
thiF	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001403_1:89692-90507
dxs	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001495_1:12622-10514
THTPA	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001744_1:13318-12497
thiDN	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001753_1:2633-3169
THI20	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001753_1:2675-3169
thiD	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001753_1:2678-3259
thiDE	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001753_1:2690-3259
thiE	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001753_1:3746-4348
THI6	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001753_1:3815-4261
TH2	Bacillariophyta_sp_ASM1036716v1	JAACSZ010001904_1:17264-18163
adk	Bacillariophyta_sp_ASM1036716v1	JAACSZ010002067_1:3490-3029
THTPA	Bacillariophyta_sp_ASM1329908v1	JAAFKC010000189_1:8184-8996
TPK1	Bacillariophyta_sp_ASM1329908v1	JAAFKC010000933_1:9993-9832
thiF	Bacillariophyta_sp_ASM1329908v1	JAAFKC010001210_1:3261-2539
adk	Bacillariophyta_sp_ASM1329908v1	JAAFKC010001296_1:4072-3401
thiO	Bacillariophyta_sp_ASM1329908v1	JAAFKC010001595_1:1365-529
thiC	Bacillariophyta_sp_ASM1329908v1	JAAFKC010001670_1:4506-2533
THI4	Bacillariophyta_sp_ASM1329908v1	JAAFKC010002248_1:635-802
dxs	Bacillariophyta_sp_ASM1329908v1	JAAFKC010002472_1:1146-3179
ylmB	Bacillariophyta_sp_ASM1329908v1	JAAFKC010003840_1:540-917
iscS	Bacillariophyta_sp_ASM1329908v1	JAAFKC010003848_1:3245-2046
thiE	Bacillariophyta_sp_ASM1329908v1	JAAFKC010004228_1:1627-1058
thiDE	Bacillariophyta_sp_ASM1329908v1	JAAFKC010004228_1:2707-1979
thiD	Bacillariophyta_sp_ASM1329908v1	JAAFKC010004228_1:2740-1988
thiDN	Bacillariophyta_sp_ASM1329908v1	JAAFKC010004228_1:2782-2003
THI20	Bacillariophyta_sp_ASM1329908v1	JAAFKC010004228_1:2794-1967
thiG	Bacillariophyta_sp_ASM1329908v1	JAAFKC010005729_1:1062-1826
THI20	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_161112
thiDN	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_161112
thiD	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_161112
thiDE	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_161112
thiE	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_153126
THI6	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_153126
tenI	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_153126
rsgA	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_235141
ylmB	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_236083
dxs	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_206899
TPK1	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_186232
thiC	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_225659
THTPA	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_239507
phoA	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_187960
adk	Fragilariopsis_cylindrus_Fracy1	KV784363_1:916165-915545
THI5	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_227553
thiO	Fragilariopsis_cylindrus_Fracy1	KV784364_1:945496-946602
iscS	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_271242
thiF	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_194811
TH2	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_248593
tenA	Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_199067
tenI	Asterionella_formosa_ASM225602v1	NKIB01000328_1:1982-1602
thiC	Asterionella_formosa_ASM225602v1	NKIB01001105_1:23719-21938
TPK1	Asterionella_formosa_ASM225602v1	NKIB01001231_1:10235-10963
THTPA	Asterionella_formosa_ASM225602v1	NKIB01002081_1:6948-7616
iscS	Asterionella_formosa_ASM225602v1	NKIB01002245_1:10680-11819
adk	Asterionella_formosa_ASM225602v1	NKIB01004973_1:1584-2000
rsgA	Asterionella_formosa_ASM225602v1	NKIB01010859_1:8033-7413
dxs	Asterionella_formosa_ASM225602v1	NKIB01012851_1:2316-3788
THI6	Asterionella_formosa_ASM225602v1	NKIB01013371_1:3589-3410
thiE	Asterionella_formosa_ASM225602v1	NKIB01013371_1:3658-3056
thiDE	Asterionella_formosa_ASM225602v1	NKIB01013371_1:4630-3935
thiD	Asterionella_formosa_ASM225602v1	NKIB01013371_1:4645-3782
thiDN	Asterionella_formosa_ASM225602v1	NKIB01013371_1:4645-3959
THI20	Asterionella_formosa_ASM225602v1	NKIB01013371_1:4726-3200
thiF	Asterionella_formosa_ASM225602v1	NKIB01013590_1:41433-40750
thiG	Asterionella_formosa_ASM225602v1	NKIB01013960_1:35880-36647
thiO	Asterionella_formosa_ASM225602v1	NKIB01014556_1:36199-37227
adk	Licmophora_abbreviata_CCMP470	OLMU01000439_1:2-589
TPK1	Licmophora_abbreviata_CCMP470	OLMU01000581_1:8882-8130
thiO	Licmophora_abbreviata_CCMP470	OLMU01001464_1:991-2094
rsgA	Licmophora_abbreviata_CCMP470	OLMU01001891_1:1428-2108
thi4	Licmophora_abbreviata_CCMP470	OLMU01002274_1:1314-1192
thiF	Licmophora_abbreviata_CCMP470	OLMU01003076_1:6515-5787
tenA	Licmophora_abbreviata_CCMP470	OLMU01003438_1:25057-24689
iscS	Licmophora_abbreviata_CCMP470	OLMU01004083_1:2202-1057
dxs	Licmophora_abbreviata_CCMP470	OLMU01004926_1:12004-13761
ylmB	Licmophora_abbreviata_CCMP470	OLMU01004997_1:1056-2324
tenI	Licmophora_abbreviata_CCMP470	OLMU01005067_1:304-5
THI6	Licmophora_abbreviata_CCMP470	OLMU01005067_1:517-215
thiE	Licmophora_abbreviata_CCMP470	OLMU01005067_1:568-41
thiDE	Licmophora_abbreviata_CCMP470	OLMU01005068_1:1487-774
THI20	Licmophora_abbreviata_CCMP470	OLMU01005068_1:1499-771
thiDN	Licmophora_abbreviata_CCMP470	OLMU01005068_1:1541-912
thiD	Licmophora_abbreviata_CCMP470	OLMU01005068_1:1544-762
thiG	Licmophora_abbreviata_CCMP470	OLMU01005533_1:796-1560
THI5	Licmophora_abbreviata_CCMP470	OLMU01005660_1:2706-1963
THTPA	Licmophora_abbreviata_CCMP470	OLMU01007021_1:1-480
dxs	Halamphora_sp_MG8b	QAXB01007216_1:411-1
iscS	Halamphora_sp_MG8b	QAXB01029371_1:1-423
thiE	Halamphora_sp_MG8b	QAXB01030865_1:19-366
NTPCR	Halamphora_sp_MG8b	QAXB01032462_1:1-333
THI5	Halamphora_sp_MG8b	QAXB01032885_1:1559-1711
adk	Halamphora_sp_MG8b	QAXB01033134_1:3-482
thiO	Halamphora_sp_MG8b	QAXB01035153_1:55-1002
ylmB	Halamphora_sp_MG8b	QAXB01042305_1:38-484
thiDN	Halamphora_sp_MG8b	QAXB01043945_1:2697-2461
TPK1	Halamphora_sp_MG8b	QAXB01047145_1:439-50
THTPA	Halamphora_sp_MG8b	QAXB01048104_1:519-1247
thiDE	Halamphora_sp_MG8b	QAXB01048656_1:630-1214
tenA	Halamphora_sp_MG8b	QAXB01048656_1:633-1211
thiF	Halamphora_sp_MG8b	QAXB01048911_1:2097-1405
TH2	Halamphora_sp_MG8b	QAXB01054039_1:1553-705
thiH	Halamphora_sp_MG8b	QAXB01054450_1:440-195
THI4	Halamphora_sp_AAB	QAXC01000002_1:500074-500199
rsgA	Halamphora_sp_AAB	QAXC01000003_1:166944-166354
thiH	Halamphora_sp_AAB	QAXC01000003_1:1207700-1206609
thiG	Halamphora_sp_AAB	QAXC01000003_1:1208467-1207709
thiF	Halamphora_sp_AAB	QAXC01000003_1:1209414-1208680
tenI	Halamphora_sp_AAB	QAXC01000003_1:1209733-1209419
thiE	Halamphora_sp_AAB	QAXC01000003_1:1210039-1209431
thiC	Halamphora_sp_AAB	QAXC01000003_1:1212623-1210920
adk	Halamphora_sp_AAB	QAXC01000003_1:1556361-1557053
iscS	Halamphora_sp_AAB	QAXC01000004_1:1244682-1245815
thiL	Halamphora_sp_AAB	QAXC01000004_1:1432294-1433247
dxs	Halamphora_sp_AAB	QAXC01000004_1:1443312-1441492
phoA	Halamphora_sp_AAB	QAXC01000023_1:62806-63630
thiI	Halamphora_sp_AAB	QAXC01000024_1:27446-28897
thiO	Halamphora_sp_AAB	QAXC01000031_1:794377-793640
THI5	Halamphora_sp_AAB	QAXC01001892_1:1159-398
ylmB	Halamphora_sp_AAB	QAXC01002049_1:1821-586
thiDN	Halamphora_sp_AAB	QAXC01003237_1:138-917
thiD	Halamphora_sp_AAB	QAXC01003237_1:150-935
THI20	Halamphora_sp_AAB	QAXC01003237_1:192-929
thiDE	Halamphora_sp_AAB	QAXC01003237_1:204-923
THI6	Halamphora_sp_AAB	QAXC01003315_1:623-81
thiM	Halamphora_sp_AAB	QAXC01003315_1:644-15
tenA	Halamphora_sp_AAB	QAXC01006055_1:1646-2131
ACP1	Halamphora_sp_AAB	QAXC01006285_1:1578-1114
iscS	Psammoneis_japonica_ASM863298v1	QPGO01000014_1:153512-154648
tenI	Psammoneis_japonica_ASM863298v1	QPGO01000015_1:91136-91525
adk	Psammoneis_japonica_ASM863298v1	QPGO01000048_1:462895-463569
THTPA	Psammoneis_japonica_ASM863298v1	QPGO01000052_1:5818-6369
TPK1	Psammoneis_japonica_ASM863298v1	QPGO01000057_1:371091-371774
thiF	Psammoneis_japonica_ASM863298v1	QPGO01000094_1:34663-33956
TH2	Psammoneis_japonica_ASM863298v1	QPGO01000096_1:231961-231074
dxs	Psammoneis_japonica_ASM863298v1	QPGO01000173_1:76113-74773
THI20	Psammoneis_japonica_ASM863298v1	QPGO01000173_1:149251-149766
thiDN	Psammoneis_japonica_ASM863298v1	QPGO01000173_1:149296-149793
thiD	Psammoneis_japonica_ASM863298v1	QPGO01000173_1:149338-149739
thiDE	Psammoneis_japonica_ASM863298v1	QPGO01000173_1:149353-149769
thiE	Psammoneis_japonica_ASM863298v1	QPGO01000173_1:150649-151254
THI6	Psammoneis_japonica_ASM863298v1	QPGO01000173_1:150703-150882
thiC	Psammoneis_japonica_ASM863298v1	QPGO01000179_1:78777-77344
thiO	Psammoneis_japonica_ASM863298v1	QPGO01000424_1:20503-21603
iscS	Pseudo-nitzschia_multiseries_Psemu1	"""e_gw1.1000.17.1"""
thiG	Cyclotella_cryptica_Cyccr1	scaffold_102471:53-136
ylmB	Pseudo-nitzschia_multiseries_Psemu1	"""e_gw1.104.45.1"""
thiE	Cyclotella_cryptica_Cyccr1	gene_582
thiDE	Cyclotella_cryptica_Cyccr1	gene_582
thiDN	Cyclotella_cryptica_Cyccr1	gene_582
thiD	Cyclotella_cryptica_Cyccr1	gene_582
THI20	Cyclotella_cryptica_Cyccr1	gene_582
thiL	Cyclotella_cryptica_Cyccr1	scaffold_107955:1-132
thiC	Pseudo-nitzschia_multiseries_Psemu1	"""estExt_Genewise1Plus.C_1240062"""
TPK1	Cyclotella_cryptica_Cyccr1	gene_2720
TPK1	Pseudo-nitzschia_multiseries_Psemu1	"""estExt_Genewise1Plus.C_16050006"""
dxs	Pseudo-nitzschia_multiseries_Psemu1	"""estExt_Genemark1.C_1630038"""
tenA	Pseudo-nitzschia_multiseries_Psemu1	"""e_gw1.2416.4.1"""
THTPA	Pseudo-nitzschia_multiseries_Psemu1	"""e_gw1.260.37.1"""
thiO	Pseudo-nitzschia_multiseries_Psemu1	"""e_gw1.2973.5.1"""
TH2	Pseudo-nitzschia_multiseries_Psemu1	"""e_gw1.338.15.1"""
tenA	Cyclotella_cryptica_Cyccr1	gene_7260
TH2	Cyclotella_cryptica_Cyccr1	gene_7293
THI20	Pseudo-nitzschia_multiseries_Psemu1	"""estExt_fgenesh1_pm.C_4120005"""
thiDN	Pseudo-nitzschia_multiseries_Psemu1	"""estExt_fgenesh1_pm.C_4120005"""
thiD	Pseudo-nitzschia_multiseries_Psemu1	"""estExt_fgenesh1_pm.C_4120005"""
thiDE	Pseudo-nitzschia_multiseries_Psemu1	"""estExt_fgenesh1_pm.C_4120005"""
thiE	Pseudo-nitzschia_multiseries_Psemu1	"""estExt_fgenesh1_pm.C_4120005"""
THI5	Pseudo-nitzschia_multiseries_Psemu1	"""estExt_fgenesh1_pm.C_420005"""
thiC	Cyclotella_cryptica_Cyccr1	gene_9184
adk	Cyclotella_cryptica_Cyccr1	scaffold_4250:35593-35342
thiF	Pseudo-nitzschia_multiseries_Psemu1	"""e_gw1.434.71.1"""
thiO	Cyclotella_cryptica_Cyccr1	gene_9996
THTPA	Cyclotella_cryptica_Cyccr1	gene_11011
ylmB	Cyclotella_cryptica_Cyccr1	gene_11380
adk	Pseudo-nitzschia_multiseries_Psemu1	"""fgenesh1_kg.529_#_14_#_6139_1_CCCI_CCOA_CCOB_CCOC_CFAP_CFAS"""
dxs	Cyclotella_cryptica_Cyccr1	gene_13448
rsgA	Pseudo-nitzschia_multiseries_Psemu1	"""gm1.35096_g"""
thiI	Cyclotella_cryptica_Cyccr1	scaffold_61961:1-189
iscS	Cyclotella_cryptica_Cyccr1	gene_15800
NTPCR	Pseudo-nitzschia_multiseries_Psemu1	scaffold_81:69286-69894
thiK	Cyclotella_cryptica_Cyccr1	scaffold_83269:3-158
thiH	Cyclotella_cryptica_Cyccr1	scaffold_87833:1-150
thiF	Cyclotella_cryptica_Cyccr1	gene_19958
THI6	Pseudo-nitzschia_multiseries_Psemu1	"""e_gw1.984.18.1"""
tenI	Pseudo-nitzschia_multiseries_Psemu1	"""e_gw1.984.18.1"""
thiO	Synedra_acus_sac1	15420-gene
iscS	Synedra_acus_sac1	8658-gene
thiE	Synedra_acus_sac1	21613-gene
THTPA	Synedra_acus_sac1	10373-gene
tenA	Synedra_acus_sac1	22646-gene
TPK1	Synedra_acus_sac1	4907-gene
adk	Synedra_acus_sac1	4024-gene
dxs	Synedra_acus_sac1	23730-gene
thiC	Synedra_acus_sac1	2740-gene
THI20	Synedra_acus_sac1	594-gene
thiDE	Synedra_acus_sac1	594-gene
thiDN	Synedra_acus_sac1	594-gene
thiG	Synedra_acus_sac1	20708-gene
thiF	Synedra_acus_sac1	17005-gene
THI6	Synedra_acus_sac1	1479-gene
ylmB	Synedra_acus_sac1	12851-gene
thiD	Synedra_acus_sac1	8753-gene
thiL	Synedra_acus_sac1	6294-gene
tenI	Synedra_acus_sac1	10271-gene
tenA	Cyclotella_cryptica_ASM1318728v1	CCRYP_009563_size565204-processed-gene-4.50
TH2	Cyclotella_cryptica_ASM1318728v1	scaffold14_size2522936|:1557009-1555834
thiC	Cyclotella_cryptica_ASM1318728v1	CCRYP_003000_size1082546-augustus-gene-3.15
thiDN	Cyclotella_cryptica_ASM1318728v1	CCRYP_000796_size1839819-augustus-gene-2.35
thiD	Cyclotella_cryptica_ASM1318728v1	CCRYP_000796_size1839819-augustus-gene-2.35
THI20	Cyclotella_cryptica_ASM1318728v1	CCRYP_000796_size1839819-augustus-gene-2.35
thiDE	Cyclotella_cryptica_ASM1318728v1	CCRYP_000796_size1839819-augustus-gene-2.35
thiE	Cyclotella_cryptica_ASM1318728v1	CCRYP_000796_size1839819-augustus-gene-2.35
iscS	Cyclotella_cryptica_ASM1318728v1	CCRYP_018707_size139305-snap-gene-0.49
THTPA	Cyclotella_cryptica_ASM1318728v1	CCRYP_019333_size119222-exonerate_est2genome-gene-0.5
dxs	Cyclotella_cryptica_ASM1318728v1	CCRYP_002852_size1113722-snap-gene-3.3
ylmB	Cyclotella_cryptica_ASM1318728v1	CCRYP_003523_size1076052-processed-gene-9.65
TPK1	Cyclotella_cryptica_ASM1318728v1	CCRYP_005566_size842038-augustus-gene-1.3
thiO	Cyclotella_cryptica_ASM1318728v1	CCRYP_008169_size654149-processed-gene-1.26
thiF	Cyclotella_cryptica_ASM1318728v1	CCRYP_004866_size906611-augustus-gene-0.14
adk	Cyclotella_cryptica_ASM1318728v1	CCRYP_003889_size1046064-augustus-gene-9.78
thiG	Seminavis_robusta_version1.2	Sro51_chlor_g029930
TPK1	Seminavis_robusta_version1.2	Sro103_g052470
thiH	Seminavis_robusta_version1.2	Sro1555_g282170
NTPCR	Seminavis_robusta_version1.2	Sro186_g080610
thiF	Seminavis_robusta_version1.2	Sro1881_g303260
iscS	Seminavis_robusta_version1.2	Sro19_g013730
dxs	Seminavis_robusta_version1.2	Sro197_g083720
THI6	Seminavis_robusta_version1.2	Sro3058_g342900
thiE	Seminavis_robusta_version1.2	Sro3058_g342900
thiDE	Seminavis_robusta_version1.2	Sro3058_g342900
thiDN	Seminavis_robusta_version1.2	Sro3058_g342900
thiD	Seminavis_robusta_version1.2	Sro3058_g342900
THI20	Seminavis_robusta_version1.2	Sro3058_g342900
THTPA	Seminavis_robusta_version1.2	Sro3376_g347400
thiO	Seminavis_robusta_version1.2	Sro399_g134930
thiC	Seminavis_robusta_version1.2	Sro446_g144700
